id,price
0,3010.036
1,5333.3188
2,9173.5156
3,4159.8604
4,1702.0048
5,6025.8004
6,4689.4004
7,4329.848
8,5231.4992
9,15973.7064
10,4330.8088
11,898.6176
12,3197.8576
13,1610.6148
14,2422.2508
15,1126.3348
16,1448.2372
17,4098.3332
18,4146.43416
19,863.9303199999999
20,2204.08
21,5203.29
22,4265.7392
23,605.8824
24,16864.104
25,1043.8996
26,602.4410666666666
27,997.1408
28,1646.8056
29,937.3364
30,10246.483266666666
31,553.8192
32,4080.9732
33,742.2564
34,649.52
35,2303.236
36,6133.90876
37,2542.566
38,2932.5724
39,649.6072
40,508.3052
41,9158.6948
42,911.9974
43,1891.2016
44,10393.12
45,2473.8288
46,914.2192
47,862.1224
48,1213.8476
49,2866.0604
50,584.3032
51,4567.0796
52,2900.1832
53,7080.9304
54,5479.0724
55,2273.6988
56,9480.39
57,2491.0712
58,4456.668
59,2777.5244
60,1238.3396
61,512.0884
62,7098.4912
63,1205.7988
64,8981.51188
65,17231.893333333333
66,900.4004
67,12239.995
68,5148.168
69,9286.2244
70,452.9396
71,618.9263000000001
72,890.5028
73,1274.3116
74,5239.7556
75,1843.2184
76,8577.2932
77,14233.7016
78,2792.8736
79,6701.1268
80,10878.4716
81,2110.784
82,13999.2484
83,6376.3268
84,869.2116
85,7711.895579999999
86,1016.4696
87,12121.3796
88,7988.6884
89,14478.0476
90,4836.2208
91,1334.5988
92,1006.3868
93,901.9858038095235
94,17540.5308
95,542.5796
96,14515.8964
97,14993.297593333335
98,12709.022
99,760.3236
100,2445.4632
101,746.6787628571428
102,656.8068
103,461.8924
104,1020.0032
105,1623.66
106,1365.2948
107,777.1256
108,1051.3864
109,726.3652
110,638.83
111,1032.854
112,1917.4594
113,1685.96
114,1523.9904
115,5214.9908
116,5358.1316
117,16184.249440000001
118,494.7776
119,17084.8864
120,1310.9496
121,1684.2064
122,1158.5592800000002
123,484.7804
124,688.8332
125,1253.2772
126,1120.146
127,13705.7916
128,5262.236
129,5177.77
130,6313.4616
131,3329.6158000000005
132,6843.1044
133,1035.642
134,3526.895866666667
135,1029.8604
136,593.354
137,7347.3356
138,550.1768
139,4378.0932
140,824.4824
141,1018.4756
142,3699.4744
143,4000.0476
144,792.9584
145,6439.6908
146,16456.2584
147,5323.0856
148,2583.43
149,1867.9732
150,2365.188
151,1690.354
152,11942.2904
153,2828.2576
154,702.706
155,14462.805039999997
156,3570.0628
157,2884.8076
158,3941.0208
159,867.6256
160,7811.0456
161,9837.2004
162,623.9932
163,699.2192
164,5585.6656
165,11381.5028
166,3395.6644
167,4615.652
